ingrediant,vegan,lacto ovo,lacto,ovo,diabetes,sugar,lactose,dairy,nuts,egg,fish,soy,gluten,sesame,eat
coriander,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
golden caster sugar,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
coconut milk,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
banana,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
bittersweet chocolate,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
instant espresso powder,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
heavy cream,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
powdered sugar,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
all purpose flour,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
salmon,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
boneless pork,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
rubbed sage,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vinegar,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
soy sauce,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
sugar,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
milk,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
dates,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
avocado,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
tuna,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
wheat bread crumbs,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
sugar free yellow cake mix,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
sugar free strawberry preserves,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
strawberries,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
pecan,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
rapeseed oil,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
firm tofu,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
unsweetened soy milk,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
miso paste,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
onion powder,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
wheat gluten,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
unsweetened applesauce,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vegan chocolate chips,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vegan margarine,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
ground flaxseed,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
coffee granules,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
garam masala,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
green bean,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
boneless chicken,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
rice bran oil,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
blueberries,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
green apple,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
greek yogurt,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
spelt flour,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
almond milk,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
cashew milk,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
